epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,29205.8,1.19175,0.4673,0.00864,0.97642,0.96053,0.98791,0.6931,1.14148,0.33482,0.00961,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,29687.5,1.19893,0.46529,0.00863,0.97472,0.95813,0.98873,0.69845,1.12593,0.33363,0.0095,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,30168.9,1.19284,0.4617,0.00841,0.96617,0.96053,0.98973,0.70163,1.12862,0.34021,0.00951,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,30643.7,1.18762,0.45773,0.00841,0.97287,0.96114,0.99051,0.70098,1.13177,0.32836,0.00951,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,31124.6,1.18681,0.45359,0.00847,0.97385,0.96101,0.98733,0.6964,1.13198,0.33358,0.00954,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,31604,1.17979,0.46289,0.0085,0.97076,0.96004,0.98573,0.69745,1.12957,0.3376,0.00948,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,32080.2,1.16797,0.44451,0.0084,0.97194,0.9623,0.9868,0.70296,1.12651,0.32803,0.00937,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,32556.6,1.17069,0.44761,0.00836,0.96907,0.96178,0.98332,0.70003,1.12979,0.33047,0.00955,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,33030.1,1.16399,0.45022,0.00836,0.97355,0.95858,0.9889,0.70343,1.1176,0.33444,0.00944,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,33509.9,1.1523,0.44964,0.0083,0.96807,0.96686,0.9899,0.70427,1.11334,0.33088,0.00937,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,33986.1,1.14792,0.45015,0.00814,0.97583,0.96296,0.98989,0.70562,1.11243,0.32861,0.00931,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,34461.1,1.14658,0.45327,0.00823,0.97157,0.96579,0.99014,0.70224,1.10865,0.328,0.00933,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,34937.7,1.1419,0.43849,0.00812,0.97958,0.96296,0.98998,0.70408,1.11102,0.32315,0.00934,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,35414.8,1.13719,0.43701,0.00807,0.97453,0.95858,0.9883,0.70638,1.107,0.32704,0.0093,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,35894.2,1.13895,0.43177,0.00797,0.97464,0.96053,0.99039,0.70776,1.10787,0.32187,0.0093,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,36377.7,1.12392,0.42492,0.00799,0.97342,0.96101,0.98876,0.70695,1.10873,0.3271,0.00924,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,36860.9,1.12867,0.41623,0.00801,0.97439,0.96101,0.98787,0.70648,1.10802,0.32642,0.00919,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,37345,1.11711,0.41874,0.00784,0.97163,0.96802,0.98965,0.70603,1.10558,0.32695,0.00921,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,37824.5,1.12773,0.42116,0.008,0.9744,0.96448,0.99002,0.70533,1.10716,0.32818,0.00921,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,38304.5,1.11633,0.42374,0.00787,0.96922,0.96662,0.98896,0.7066,1.10939,0.32663,0.00921,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,38784.6,1.09295,0.41584,0.00781,0.97681,0.95809,0.98805,0.70854,1.10923,0.3283,0.00919,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,39260.8,1.10151,0.40389,0.00776,0.96943,0.96491,0.98639,0.71164,1.10479,0.32869,0.00906,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,39736.5,1.0824,0.40032,0.00764,0.97288,0.96148,0.98709,0.71342,1.10162,0.32336,0.00909,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,40216,1.09036,0.40671,0.00757,0.96575,0.97076,0.98656,0.71189,1.09855,0.32134,0.00909,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,40737.9,1.08027,0.40648,0.00753,0.97573,0.95982,0.98686,0.71386,1.09301,0.32201,0.00903,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,41312.3,1.07624,0.40209,0.00766,0.97134,0.96491,0.98686,0.71677,1.09296,0.31862,0.00902,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,41900.2,1.06827,0.39457,0.00753,0.97587,0.96569,0.98614,0.71542,1.09454,0.31973,0.009,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
